Country,Subtopic,Status,Justification
Haiti,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Haiti,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Haiti,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Haiti,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Haiti,Legal sanctions,No ABS legislation identified,
Holy See (Vatican City),Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Holy See (Vatican City),Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Holy See (Vatican City),Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Holy See (Vatican City),Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Holy See (Vatican City),Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
